"";"Status";"Credit.history";"Purpose";"Savings.account";"Installment.rate";"Personal.status.and.sex";"Number.of.existing.credits";"Job";"Number.of.people";"foreign.worker";"Class"
"198";"0-200 DM";"existing credits paid back duly till now";"radio/television";"100-500 DM";4;"female: divorced/separated/married";4;"skilled employee / official";1;"yes";2
"199";"0-200 DM";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"200";"0-200 DM";"delay in paying off in the past";"radio/television";"<100 DM";4;"male: divorced/separated";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"201";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"500-1000 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"202";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"203";"no checking account";"delay in paying off in the past";"business";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"204";"<0 DM";"existing credits paid back duly till now";"retraining";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"205";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";2;"yes";1
"206";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";3;"male: single";3;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"207";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";3;"skilled employee / official";1;"yes";1
"208";"0-200 DM";"critical account/other credits existing (not at this bank)";"repairs";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"209";"<0 DM";"existing credits paid back duly till now";"business";"<100 DM";2;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"210";"no checking account";"existing credits paid back duly till now";"car (used)";">=1000 DM";3;"male: single";1;"skilled employee / official";1;"no";1
"211";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";1;"male: single";2;"skilled employee / official";2;"yes";1
"212";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"213";"<0 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"214";">=200 DM";"delay in paying off in the past";"business";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"215";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"216";"0-200 DM";"critical account/other credits existing (not at this bank)";"retraining";"unknown/ no savings account";1;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"217";"<0 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"218";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"219";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: divorced/separated";1;"unskilled - resident";1;"yes";1
"220";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"221";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"222";"<0 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"223";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"224";"no checking account";"delay in paying off in the past";"business";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";2;"yes";1
"225";"no checking account";"existing credits paid back duly till now";"car (used)";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"226";"no checking account";"no credits taken/all credits paid back duly";"education";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"227";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";">=1000 DM";1;"male: single";2;"skilled employee / official";1;"yes";2
"228";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"229";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"230";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"231";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"232";"no checking account";"existing credits paid back duly till now";"car (new)";"500-1000 DM";2;"male: single";1;"unskilled - resident";1;"yes";1
"233";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"234";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"235";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"male: single";3;"unskilled - resident";2;"yes";1
"236";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";2
"237";"0-200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";1;"male: single";1;"unemployed/ unskilled  - non-resident";1;"yes";2
"238";"0-200 DM";"existing credits paid back duly till now";"business";"100-500 DM";4;"male: divorced/separated";2;"unskilled - resident";1;"yes";2
"239";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"240";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"male: single";1;"skilled employee / official";2;"yes";1
"241";"<0 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"242";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"skilled employee / official";2;"yes";1
"243";"<0 DM";"no credits taken/all credits paid back duly";"car (used)";"<100 DM";3;"male: single";2;"skilled employee / official";2;"yes";2
"244";"no checking account";"critical account/other credits existing (not at this bank)";"business";"<100 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"245";"no checking account";"all credits at this bank paid back duly";"retraining";"500-1000 DM";4;"female: divorced/separated/married";1;"unskilled - resident";2;"yes";1
"246";"no checking account";"existing credits paid back duly till now";"business";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"247";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";3;"skilled employee / official";1;"yes";1
"248";"no checking account";"no credits taken/all credits paid back duly";"car (new)";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"no";1
"249";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"250";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"251";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";">=1000 DM";3;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"252";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"253";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"254";"no checking account";"delay in paying off in the past";"radio/television";"100-500 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"255";"0-200 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";2;"male: single";1;"skilled employee / official";1;"yes";1
"256";"0-200 DM";"delay in paying off in the past";"domestic appliances";"unknown/ no savings account";1;"male: single";1;"unskilled - resident";1;"yes";1
"257";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"258";"<0 DM";"all credits at this bank paid back duly";"domestic appliances";"<100 DM";4;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"259";"no checking account";"existing credits paid back duly till now";"car (used)";"100-500 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"260";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"100-500 DM";4;"female: divorced/separated/married";3;"unskilled - resident";1;"yes";1
"261";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"262";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"263";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";3;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"264";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";2;"female: divorced/separated/married";3;"unskilled - resident";1;"yes";1
"265";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";3;"male: single";2;"unskilled - resident";2;"no";1
"266";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";2
"267";"no checking account";"critical account/other credits existing (not at this bank)";"business";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"268";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"269";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"male: divorced/separated";1;"management/ self-employed/highly qualified employee/ officer";1;"no";2
"270";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"271";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"no";1
"272";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"500-1000 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"273";"0-200 DM";"all credits at this bank paid back duly";"car (new)";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"274";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"275";"<0 DM";"existing credits paid back duly till now";"education";"<100 DM";1;"male: divorced/separated";1;"unskilled - resident";1;"yes";2
"276";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"male: single";1;"skilled employee / official";2;"yes";1
"277";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"278";"<0 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";2;"male: divorced/separated";1;"unskilled - resident";1;"yes";1
"279";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"280";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"281";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";">=1000 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"282";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"283";">=200 DM";"all credits at this bank paid back duly";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"unskilled - resident";1;"yes";1
"284";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"285";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"100-500 DM";4;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"286";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"287";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";1
"288";"0-200 DM";"delay in paying off in the past";"furniture/equipment";"100-500 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"289";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"290";"<0 DM";"delay in paying off in the past";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"291";"no checking account";"existing credits paid back duly till now";"business";"<100 DM";2;"male: married/widowed";1;"skilled employee / official";1;"no";1
"292";"0-200 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";1;"male: married/widowed";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"293";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";2;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"294";">=200 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"295";"no checking account";"critical account/other credits existing (not at this bank)";"business";"unknown/ no savings account";4;"male: divorced/separated";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"296";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"297";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"298";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"unskilled - resident";1;"no";1
"299";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"300";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";">=1000 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"301";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"302";"0-200 DM";"no credits taken/all credits paid back duly";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"303";">=200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"unknown/ no savings account";4;"male: single";2;"unskilled - resident";2;"yes";2
"304";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"305";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"500-1000 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"306";"no checking account";"existing credits paid back duly till now";"radio/television";">=1000 DM";4;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"307";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"308";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";2
"309";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"310";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"311";"0-200 DM";"existing credits paid back duly till now";"furniture/equipment";"unknown/ no savings account";3;"male: single";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"312";"no checking account";"existing credits paid back duly till now";"radio/television";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"313";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"314";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: married/widowed";1;"unskilled - resident";1;"yes";2
"315";">=200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";1;"male: single";1;"unskilled - resident";2;"no";1
"316";"<0 DM";"all credits at this bank paid back duly";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"317";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"unskilled - resident";2;"yes";1
"318";"0-200 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"319";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"320";"<0 DM";"delay in paying off in the past";"radio/television";"<100 DM";1;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"321";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: married/widowed";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"322";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"323";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"324";"<0 DM";"existing credits paid back duly till now";"radio/television";">=1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"325";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"326";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";2;"unskilled - resident";1;"no";1
"327";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"unknown/ no savings account";2;"male: single";1;"skilled employee / official";1;"yes";1
"328";"no checking account";"existing credits paid back duly till now";"car (new)";">=1000 DM";4;"female: divorced/separated/married";1;"skilled employee / official";2;"yes";1
"329";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"330";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";1
"331";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";2;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"332";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"100-500 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"333";"0-200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"334";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"100-500 DM";2;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";2
"335";"<0 DM";"no credits taken/all credits paid back duly";"radio/television";"<100 DM";3;"male: single";2;"skilled employee / official";2;"yes";2
"336";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";1;"male: divorced/separated";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"337";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"338";"<0 DM";"existing credits paid back duly till now";"repairs";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"339";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"340";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: divorced/separated";1;"unskilled - resident";1;"yes";1
"341";"0-200 DM";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"342";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"343";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";1;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"344";"0-200 DM";"existing credits paid back duly till now";"business";"<100 DM";1;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"345";">=200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"male: single";1;"unskilled - resident";2;"yes";1
"346";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"347";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"348";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";1;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"349";"no checking account";"delay in paying off in the past";"business";"100-500 DM";1;"male: single";2;"unskilled - resident";1;"yes";1
"350";"0-200 DM";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";">=1000 DM";4;"male: single";2;"skilled employee / official";2;"yes";2
"351";"no checking account";"existing credits paid back duly till now";"repairs";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"352";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"no";2
"353";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"354";"<0 DM";"no credits taken/all credits paid back duly";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"355";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"356";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";2
"357";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";1;"male: single";1;"skilled employee / official";1;"yes";1
"358";"no checking account";"delay in paying off in the past";"domestic appliances";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"359";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"360";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"361";"0-200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"362";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"363";">=200 DM";"delay in paying off in the past";"car (new)";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"364";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"365";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"unemployed/ unskilled  - non-resident";1;"yes";2
"366";"no checking account";"existing credits paid back duly till now";"business";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"367";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"368";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"369";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";2
"370";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"371";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"372";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"373";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"374";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"unknown/ no savings account";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"375";"0-200 DM";"all credits at this bank paid back duly";"furniture/equipment";"100-500 DM";3;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"376";"<0 DM";"all credits at this bank paid back duly";"business";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"377";"no checking account";"delay in paying off in the past";"domestic appliances";"<100 DM";2;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"378";"no checking account";"delay in paying off in the past";"domestic appliances";"unknown/ no savings account";3;"male: single";1;"skilled employee / official";1;"yes";1
"379";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"380";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"100-500 DM";4;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"381";"<0 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"382";"0-200 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";3;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"383";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"384";">=200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"385";"no checking account";"delay in paying off in the past";"business";"100-500 DM";2;"male: single";2;"unskilled - resident";1;"yes";1
"386";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"387";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"388";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"389";"0-200 DM";"critical account/other credits existing (not at this bank)";"business";"500-1000 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"390";"no checking account";"existing credits paid back duly till now";"business";"<100 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"391";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: married/widowed";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"392";"0-200 DM";"existing credits paid back duly till now";"radio/television";">=1000 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"393";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"394";"<0 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"395";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"396";"0-200 DM";"delay in paying off in the past";"(vacation - does not exist?)";"100-500 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
